"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.10.2022","4,583","4,556","4,600","4,506","9,11M","0,12%"
"11.10.2022","4,577","4,596","4,600","4,521","9,57M","-0,92%"
"10.10.2022","4,620","4,580","4,655","4,577","9,59M","0,00%"
"07.10.2022","4,620","4,674","4,728","4,594","13,69M","-3,74%"
"06.10.2022","4,799","4,854","4,864","4,780","11,13M","-0,43%"
"05.10.2022","4,820","4,869","4,905","4,792","19,75M","-1,67%"
"04.10.2022","4,902","4,760","4,938","4,719","76,39M","4,69%"
"03.10.2022","4,682","4,568","4,691","4,512","32,50M","1,34%"
"30.09.2022","4,621","4,598","4,632","4,543","19,08M","1,49%"
"29.09.2022","4,552","4,606","4,634","4,502","38,24M","-1,96%"
"28.09.2022","4,643","4,600","4,667","4,517","15,61M","0,03%"
"27.09.2022","4,642","4,820","4,826","4,582","17,43M","-2,10%"
"26.09.2022","4,741","4,702","4,801","4,675","14,38M","-0,35%"
"23.09.2022","4,758","4,883","4,887","4,670","17,83M","-2,90%"
"22.09.2022","4,900","4,860","5,006","4,834","11,70M","-0,63%"
"21.09.2022","4,931","4,861","4,988","4,837","13,23M","0,41%"
"20.09.2022","4,911","4,929","4,985","4,881","12,26M","-0,05%"
"19.09.2022","4,913","4,912","4,957","4,861","10,50M","-0,28%"
"16.09.2022","4,927","4,896","4,959","4,841","52,70M","-1,19%"
"15.09.2022","4,987","4,907","5,023","4,904","19,26M","2,23%"
"14.09.2022","4,878","4,854","4,956","4,831","13,57M","-0,18%"
"13.09.2022","4,887","4,965","4,995","4,851","18,77M","-1,39%"
"12.09.2022","4,956","4,894","4,979","4,876","43,15M","2,14%"
"09.09.2022","4,852","4,740","4,878","4,707","19,01M","4,91%"
"08.09.2022","4,625","4,547","4,668","4,493","22,87M","3,00%"
"07.09.2022","4,490","4,444","4,502","4,409","8,85M","-0,04%"
"06.09.2022","4,492","4,459","4,519","4,420","8,13M","0,51%"
"05.09.2022","4,470","4,431","4,471","4,395","8,44M","-2,00%"
